Timestamp for sample frequency every 15 min,Temperature (°C)
2024-06-30 09:49:00,27.8225
2024-06-30 10:04:00,27.8700
2024-06-30 10:19:00,28.4225
2024-06-30 10:34:00,29.3150
2024-06-30 10:49:00,29.9600
2024-06-30 11:04:00,30.4075
2024-06-30 11:19:00,31.2275
2024-06-30 11:34:00,31.8725
2024-06-30 11:49:00,31.8500
2024-06-30 12:04:00,32.0525
2024-06-30 12:19:00,32.2475
2024-06-30 12:34:00,32.4775
2024-06-30 12:49:00,32.4950
2024-06-30 13:04:00,32.6125
2024-06-30 13:19:00,32.9250
2024-06-30 13:34:00,33.0525
2024-06-30 13:49:00,33.1050
2024-06-30 14:04:00,33.2800
2024-06-30 14:19:00,33.5825
2024-06-30 14:34:00,33.1600
2024-06-30 14:49:00,33.2800
2024-06-30 15:04:00,33.5150
2024-06-30 15:19:00,33.4600
2024-06-30 15:34:00,33.0100
2024-06-30 15:49:00,32.3675
2024-06-30 16:04:00,31.6100
2024-06-30 16:19:00,30.9175
2024-06-30 16:34:00,30.7850
2024-06-30 16:49:00,30.5350
2024-06-30 17:04:00,30.3475
2024-06-30 17:19:00,30.4800
2024-06-30 17:34:00,29.9125
2024-06-30 17:49:00,29.7450
2024-06-30 18:04:00,29.2800
2024-06-30 18:19:00,27.7025
2024-06-30 18:34:00,26.9325
2024-06-30 18:49:00,26.2425
2024-06-30 19:04:00,25.8675
2024-06-30 19:19:00,25.4000
2024-06-30 19:34:00,24.5625
2024-06-30 19:49:00,23.5650
2024-06-30 20:04:00,22.3175
2024-06-30 20:19:00,21.6350
2024-06-30 20:34:00,21.0700
2024-06-30 20:49:00,20.5925
2024-06-30 21:04:00,19.9600
2024-06-30 21:19:00,19.3275
2024-06-30 21:34:00,19.0350
2024-06-30 21:49:00,18.7925
2024-06-30 22:04:00,18.6425
2024-06-30 22:19:00,18.2500
2024-06-30 22:34:00,17.8700
2024-06-30 22:49:00,17.5900
2024-06-30 23:04:00,17.3700
2024-06-30 23:19:00,17.3725
2024-06-30 23:34:00,17.5025
2024-06-30 23:49:00,17.5150
2024-07-01 00:04:00,17.4825
2024-07-01 00:19:00,17.4850
2024-07-01 00:34:00,17.5125
2024-07-01 00:49:00,17.4675
2024-07-01 01:04:00,17.2150
2024-07-01 01:19:00,17.1125
2024-07-01 01:34:00,17.0050
2024-07-01 01:49:00,16.7775
2024-07-01 02:04:00,16.6125
2024-07-01 02:19:00,16.4450
2024-07-01 02:34:00,16.3750
2024-07-01 02:49:00,16.3450
2024-07-01 03:04:00,16.2225
2024-07-01 03:19:00,16.1350
2024-07-01 03:34:00,16.0700
2024-07-01 03:49:00,15.8925
2024-07-01 04:04:00,15.8050
2024-07-01 04:19:00,15.7075
2024-07-01 04:34:00,15.5575
2024-07-01 04:49:00,15.4750
2024-07-01 05:04:00,15.4275
2024-07-01 05:19:00,15.2650
2024-07-01 05:34:00,15.0500
2024-07-01 05:49:00,15.0150
2024-07-01 06:04:00,14.9950
2024-07-01 06:19:00,15.2225
2024-07-01 06:34:00,15.5050
2024-07-01 06:49:00,16.8950
2024-07-01 07:04:00,18.1675
2024-07-01 07:19:00,19.1900
2024-07-01 07:34:00,20.0275
2024-07-01 07:49:00,20.6800
2024-07-01 08:04:00,21.0350
2024-07-01 08:19:00,21.5725
2024-07-01 08:34:00,22.4475
2024-07-01 08:49:00,23.1475
2024-07-01 09:04:00,23.9725
2024-07-01 09:19:00,25.2200
2024-07-01 09:34:00,26.2550
2024-07-01 09:49:00,26.7175
2024-07-01 10:04:00,27.2300
2024-07-01 10:19:00,28.1625
2024-07-01 10:34:00,28.4175
2024-07-01 10:49:00,29.5525
2024-07-01 11:04:00,30.2950
2024-07-01 11:19:00,30.9550
2024-07-01 11:34:00,31.7675
2024-07-01 11:49:00,32.0300
2024-07-01 12:04:00,32.9025
2024-07-01 12:19:00,33.3900
2024-07-01 12:34:00,34.2500
2024-07-01 12:49:00,34.1825
2024-07-01 13:04:00,34.4725
2024-07-01 13:19:00,35.7400
2024-07-01 13:34:00,36.1400
2024-07-01 13:49:00,36.2125
2024-07-01 14:04:00,36.9075
2024-07-01 14:19:00,36.7600
2024-07-01 14:34:00,36.9375
2024-07-01 14:49:00,37.4575
2024-07-01 15:04:00,37.6175
2024-07-01 15:19:00,37.5925
2024-07-01 15:34:00,37.5675
2024-07-01 15:49:00,37.2050
2024-07-01 16:04:00,37.6375
2024-07-01 16:19:00,37.2075
2024-07-01 16:34:00,37.2775
2024-07-01 16:49:00,37.0950
2024-07-01 17:04:00,36.9125
2024-07-01 17:19:00,36.8725
2024-07-01 17:34:00,36.4350
2024-07-01 17:49:00,36.0825
2024-07-01 18:04:00,35.5725
2024-07-01 18:19:00,34.6250
2024-07-01 18:34:00,33.9350
2024-07-01 18:49:00,33.2400
2024-07-01 19:04:00,32.6025
2024-07-01 19:19:00,31.9800
2024-07-01 19:34:00,31.2000
2024-07-01 19:49:00,30.4475
2024-07-01 20:04:00,29.8475
2024-07-01 20:19:00,29.3000
2024-07-01 20:34:00,28.6575
2024-07-01 20:49:00,28.0425
2024-07-01 21:04:00,27.2450
2024-07-01 21:19:00,26.5750
2024-07-01 21:34:00,25.9675
2024-07-01 21:49:00,25.6400
2024-07-01 22:04:00,25.3550
2024-07-01 22:19:00,24.8450
2024-07-01 22:34:00,24.2050
2024-07-01 22:49:00,23.9050
2024-07-01 23:04:00,23.3250
2024-07-01 23:19:00,22.8425
2024-07-01 23:34:00,22.4575
2024-07-01 23:49:00,21.9800
2024-07-02 00:04:00,21.6650
2024-07-02 00:19:00,21.1600
2024-07-02 00:34:00,20.8725
2024-07-02 00:49:00,20.4375
2024-07-02 01:04:00,20.5050
2024-07-02 01:19:00,20.5725
2024-07-02 01:34:00,20.5250
2024-07-02 01:49:00,20.2400
2024-07-02 02:04:00,19.9925
2024-07-02 02:19:00,20.1775
2024-07-02 02:34:00,19.8400
2024-07-02 02:49:00,19.3300
2024-07-02 03:04:00,19.0000
2024-07-02 03:19:00,18.7525
2024-07-02 03:34:00,18.6875
2024-07-02 03:49:00,18.7850
2024-07-02 04:04:00,18.7125
2024-07-02 04:19:00,19.0400
2024-07-02 04:34:00,18.8050
2024-07-02 04:49:00,18.4175
2024-07-02 05:04:00,18.0600
2024-07-02 05:19:00,17.7375
2024-07-02 05:34:00,17.4800
2024-07-02 05:49:00,17.6550
2024-07-02 06:04:00,17.5800
2024-07-02 06:19:00,17.4175
2024-07-02 06:34:00,17.4525
2024-07-02 06:49:00,19.1225
2024-07-02 07:04:00,20.8575
2024-07-02 07:19:00,21.9175
2024-07-02 07:34:00,23.0875
2024-07-02 07:49:00,23.9175
2024-07-02 08:04:00,25.0025
2024-07-02 08:19:00,26.7200
2024-07-02 08:34:00,29.8750
2024-07-02 08:49:00,31.6900
2024-07-02 09:04:00,32.7850
2024-07-02 09:19:00,33.7700
2024-07-02 09:34:00,34.0950
2024-07-02 09:49:00,34.4825
2024-07-02 10:04:00,34.6100
2024-07-02 10:19:00,35.0500
2024-07-02 10:34:00,35.2550
2024-07-02 10:49:00,35.6350
2024-07-02 11:04:00,36.1175
2024-07-02 11:19:00,36.1725
2024-07-02 11:34:00,36.8075
2024-07-02 11:49:00,37.4200
2024-07-02 12:04:00,37.7825
2024-07-02 12:19:00,38.0100
2024-07-02 12:34:00,38.4750
2024-07-02 12:49:00,38.2950
2024-07-02 13:04:00,38.6900
2024-07-02 13:19:00,39.4400
2024-07-02 13:34:00,40.0350
2024-07-02 13:49:00,40.1375
2024-07-02 14:04:00,39.8650
2024-07-02 14:19:00,40.1025
2024-07-02 14:34:00,39.5750
2024-07-02 14:49:00,40.0425
