Timestamp for sample frequency every 15 min,Temperature (°C),Relative Humidity (%),Barometric Pressure (mb)
2024-07-05 15:15:00,27.7700,37.3425,991.1800
2024-07-05 15:30:00,25.2925,41.0000,991.0800
2024-07-05 15:45:00,24.9950,41.6550,990.9000
2024-07-05 16:00:00,25.1050,41.6875,990.6700
2024-07-05 16:15:00,25.0425,41.6950,990.6200
2024-07-05 16:30:00,37.3750,26.7375,990.3700
2024-07-05 16:45:00,38.5925,24.7100,990.3300
2024-07-05 17:00:00,38.5850,24.0400,990.2300
2024-07-05 17:15:00,38.4325,24.4425,990.2000
2024-07-05 17:30:00,38.4900,24.3925,989.9600
2024-07-05 17:45:00,38.4050,23.9150,990.0000
2024-07-05 18:00:00,38.2150,23.5825,989.9600
2024-07-05 18:15:00,38.0750,23.2275,990.0900
2024-07-05 18:30:00,37.8150,23.2950,990.1400
2024-07-05 18:45:00,37.4475,23.0275,990.2100
2024-07-05 19:00:00,37.1625,22.6100,990.1500
2024-07-05 19:15:00,36.7550,23.3375,990.1200
2024-07-05 19:30:00,36.4000,23.8175,990.0800
2024-07-05 19:45:00,35.8500,24.5650,990.1700
2024-07-05 20:00:00,35.2725,25.8175,990.1700
2024-07-05 20:15:00,34.7250,27.8250,990.1200
2024-07-05 20:30:00,33.4625,31.0100,990.2800
2024-07-05 20:45:00,32.0250,33.2900,990.3700
2024-07-05 21:00:00,31.2150,33.0475,990.5300
2024-07-05 21:15:00,30.9225,32.4375,990.6200
2024-07-05 21:30:00,30.6475,33.0425,990.8700
2024-07-05 21:45:00,29.8475,34.3000,991.0600
2024-07-05 22:00:00,29.4075,34.4350,991.0700
2024-07-05 22:15:00,29.0475,33.9425,991.1600
2024-07-05 22:30:00,28.6775,33.3575,991.1600
2024-07-05 22:45:00,28.0725,34.7100,991.2200
2024-07-05 23:00:00,27.4650,35.6850,991.2500
2024-07-05 23:15:00,26.8575,35.0375,991.1400
2024-07-05 23:30:00,26.6850,34.0325,991.0700
2024-07-05 23:45:00,26.0300,34.9025,991.1800
2024-07-06 00:00:00,25.7500,35.2325,991.1000
2024-07-06 00:15:00,25.5875,35.8975,991.1000
2024-07-06 00:30:00,25.0575,37.7300,991.1500
2024-07-06 00:45:00,24.8550,38.6375,990.9400
2024-07-06 01:00:00,24.6825,39.7400,990.8900
2024-07-06 01:15:00,24.5575,40.1475,990.9300
2024-07-06 01:30:00,24.2800,41.2575,990.7300
2024-07-06 01:45:00,23.7825,42.8675,990.7100
2024-07-06 02:00:00,23.6250,43.8500,990.7700
2024-07-06 02:15:00,23.3325,44.9675,990.5300
2024-07-06 02:30:00,23.1100,46.1250,990.4800
2024-07-06 02:45:00,22.8750,46.9700,990.3900
2024-07-06 03:00:00,22.5950,48.2600,990.2500
2024-07-06 03:15:00,22.3575,49.0250,990.2900
2024-07-06 03:30:00,22.1150,49.9675,990.3000
2024-07-06 03:45:00,21.9175,50.0900,990.3100
2024-07-06 04:00:00,21.8300,49.9375,990.2000
2024-07-06 04:15:00,21.7575,49.7450,990.2200
2024-07-06 04:30:00,21.5350,50.5750,990.2300
2024-07-06 04:45:00,21.3200,51.7825,990.2500
2024-07-06 05:00:00,21.1425,52.2700,990.3700
2024-07-06 05:15:00,20.9725,53.3325,990.2700
2024-07-06 05:30:00,20.7750,53.0725,990.2300
2024-07-06 05:45:00,20.6625,54.7475,990.3400
2024-07-06 06:00:00,20.5425,53.0700,990.4200
2024-07-06 06:15:00,20.4925,55.6250,990.4500
2024-07-06 06:30:00,20.4025,56.1575,990.5000
2024-07-06 06:45:00,20.4075,55.3825,990.5800
2024-07-06 07:00:00,20.4675,56.3075,990.7100
2024-07-06 07:15:00,20.6425,55.6700,990.8500
2024-07-06 07:30:00,20.8025,53.1150,990.8900
2024-07-06 07:45:00,20.9400,56.2850,990.9400
2024-07-06 08:00:00,21.0925,55.5750,990.9700
2024-07-06 08:15:00,21.3050,55.4000,991.0099
2024-07-06 08:30:00,21.5075,54.2475,991.1500
2024-07-06 08:45:00,21.7625,52.9125,991.1900
2024-07-06 09:00:00,22.0750,52.5250,991.0400
2024-07-06 09:15:00,22.4525,51.0725,991.0000
2024-07-06 09:30:00,23.1050,48.6150,990.8300
2024-07-06 09:45:00,23.7175,48.4850,990.8200
2024-07-06 10:00:00,24.2225,47.7775,990.7100
2024-07-06 10:15:00,24.8400,46.9650,990.6500
2024-07-06 10:30:00,25.5600,46.2400,990.6100
2024-07-06 10:45:00,26.2225,44.4300,990.5200
2024-07-06 11:00:00,27.0325,43.0825,990.4400
2024-07-06 11:15:00,27.7550,41.3175,990.4700
2024-07-06 11:30:00,28.5200,38.6800,990.2900
2024-07-06 11:45:00,29.1925,37.1200,990.2400
2024-07-06 12:00:00,29.8475,36.8350,990.1100
2024-07-06 12:15:00,30.8575,35.2575,990.0800
2024-07-06 12:30:00,31.4950,34.5975,989.9900
