Timestamp for sample frequency every 1 min,Temperature (°C) (calibrated +0.0°C),Relative Humidity (%)
2024-06-30 13:00:00,35.3100,24.8575
2024-06-30 13:01:00,35.2325,25.3375
2024-06-30 13:02:00,35.1600,25.0550
2024-06-30 13:03:00,35.1425,26.1125
2024-06-30 13:04:00,35.4350,25.3600
2024-06-30 13:05:00,35.6275,25.2150
2024-06-30 13:06:00,35.7675,25.2175
2024-06-30 13:07:00,35.8175,25.3125
2024-06-30 13:08:00,35.9275,24.9175
2024-06-30 13:09:00,36.0125,25.3250
2024-06-30 13:10:00,35.9325,24.5875
2024-06-30 13:11:00,35.5375,24.8825
2024-06-30 13:12:00,35.2700,25.6400
2024-06-30 13:13:00,35.2400,25.8700
2024-06-30 13:14:00,35.5400,25.0450
2024-06-30 13:15:00,35.6825,24.9575
2024-06-30 13:16:00,35.7150,24.5775
2024-06-30 13:17:00,35.6950,24.6400
2024-06-30 13:18:00,35.6425,24.7025
2024-06-30 13:19:00,35.6375,24.9125
2024-06-30 13:20:00,35.7325,24.9300
2024-06-30 13:21:00,35.8300,25.2525
2024-06-30 13:22:00,35.9200,25.3800
2024-06-30 13:23:00,36.0825,24.9475
2024-06-30 13:24:00,36.3275,25.9150
2024-06-30 13:25:00,36.5525,25.6375
2024-06-30 13:26:00,36.6475,24.5025
2024-06-30 13:27:00,36.7250,23.9950
2024-06-30 13:28:00,36.5400,24.3225
2024-06-30 13:29:00,36.3875,24.4200
2024-06-30 13:30:00,36.4550,24.5475
2024-06-30 13:31:00,36.6375,24.2300
2024-06-30 13:32:00,36.6750,24.0050
2024-06-30 13:33:00,36.6125,24.0375
2024-06-30 13:34:00,36.6400,23.9850
2024-06-30 13:35:00,36.5900,24.1025
2024-06-30 13:36:00,36.4425,24.2525
2024-06-30 13:37:00,36.4850,24.2325
2024-06-30 13:38:00,36.4950,24.0400
2024-06-30 13:39:00,36.2750,24.2900
2024-06-30 13:40:00,36.2650,24.5250
2024-06-30 13:41:00,36.3275,24.8800
2024-06-30 13:42:00,36.4575,24.4800
2024-06-30 13:43:00,36.7600,24.7400
2024-06-30 13:44:00,36.8825,24.0600
2024-06-30 13:45:00,36.6750,24.1625
2024-06-30 13:46:00,36.7275,24.1800
2024-06-30 13:47:00,36.7625,24.3750
2024-06-30 13:48:00,36.7075,23.9025
2024-06-30 13:49:00,36.5675,24.3225
2024-06-30 13:50:00,36.6100,24.3300
2024-06-30 13:51:00,36.7275,24.5000
2024-06-30 13:52:00,36.7700,23.8525
2024-06-30 13:53:00,36.7150,24.8875
2024-06-30 13:54:00,36.7950,23.9425
2024-06-30 13:55:00,36.7600,24.1950
2024-06-30 13:56:00,36.7900,24.2325
2024-06-30 13:57:00,36.8050,23.9200
2024-06-30 13:58:00,36.7725,23.9900
2024-06-30 13:59:00,36.6375,24.1525
2024-06-30 14:00:00,36.6350,24.3325
2024-06-30 14:01:00,36.8025,24.2450
2024-06-30 14:02:00,36.8900,24.0750
2024-06-30 14:03:00,36.8450,24.7025
2024-06-30 14:04:00,37.1125,24.1175
2024-06-30 14:05:00,37.0700,23.7350
2024-06-30 14:06:00,36.8675,23.7800
2024-06-30 14:07:00,36.8275,24.0700
2024-06-30 14:08:00,36.8875,24.1400
2024-06-30 14:09:00,36.8500,23.8175
2024-06-30 14:10:00,36.8250,24.0200
2024-06-30 14:11:00,36.8350,23.9275
2024-06-30 14:12:00,36.8825,24.1850
2024-06-30 14:13:00,37.1325,24.0925
2024-06-30 14:14:00,37.2600,23.6550
2024-06-30 14:15:00,37.1650,24.1850
2024-06-30 14:16:00,37.1675,24.3775
2024-06-30 14:17:00,37.1100,23.6575
2024-06-30 14:18:00,37.0450,24.3675
2024-06-30 14:19:00,37.1175,24.1700
2024-06-30 14:20:00,37.0500,23.8875
2024-06-30 14:21:00,36.8300,24.3900
2024-06-30 14:22:00,36.8000,24.4425
2024-06-30 14:23:00,36.6325,24.1175
2024-06-30 14:24:00,36.5050,24.4025
2024-06-30 14:25:00,36.5300,24.5150
2024-06-30 14:26:00,36.6850,24.1825
2024-06-30 14:27:00,36.6500,24.6825
2024-06-30 14:28:00,36.7225,24.6200
2024-06-30 14:29:00,36.8025,24.3000
2024-06-30 14:30:00,36.7825,24.3925
