Timestamp for sample frequency every 15 min,Temperature (°F)
2024-06-23 07:01:00,67.9190
2024-06-23 07:16:00,69.1205
2024-06-23 07:31:00,69.8810
2024-06-23 07:46:00,74.6825
2024-06-23 08:01:00,79.0925
2024-06-23 08:16:00,81.3020
2024-06-23 08:31:00,82.7420
2024-06-23 08:46:00,82.4585
2024-06-23 09:01:00,80.4830
2024-06-23 09:16:00,79.5335
2024-06-23 09:31:00,79.3490
2024-06-23 09:46:00,80.3750
2024-06-23 10:01:00,81.6575
2024-06-23 10:16:00,82.6565
2024-06-23 10:31:00,84.2990
2024-06-23 10:46:00,85.9685
2024-06-23 11:01:00,87.4715
2024-06-23 11:16:00,89.0690
2024-06-23 11:31:00,89.7980
2024-06-23 11:46:00,90.7070
2024-06-23 12:01:00,92.2505
2024-06-23 12:16:00,94.5950
2024-06-23 12:31:00,95.4050
2024-06-23 12:46:00,95.8055
2024-06-23 13:01:00,96.9125
2024-06-23 13:16:00,98.0870
2024-06-23 13:31:00,98.5865
2024-06-23 13:46:00,98.6315
2024-06-23 14:01:00,99.2615
2024-06-23 14:16:00,99.6530
2024-06-23 14:31:00,101.6420
2024-06-23 14:46:00,101.8130
2024-06-23 15:01:00,101.1515
2024-06-23 15:16:00,101.1425
2024-06-23 15:31:00,101.1245
2024-06-23 15:46:00,101.4935
2024-06-23 16:01:00,99.9230
2024-06-23 16:16:00,100.1075
2024-06-23 16:31:00,98.2580
2024-06-23 16:46:00,96.7145
2024-06-23 17:01:00,95.5220
2024-06-23 17:16:00,94.0415
2024-06-23 17:31:00,93.5510
2024-06-23 17:46:00,93.2270
2024-06-23 18:01:00,92.2820
2024-06-23 18:16:00,91.1840
2024-06-23 18:31:00,90.1355
2024-06-23 18:46:00,88.9700
2024-06-23 19:01:00,88.0385
2024-06-23 19:16:00,87.0980
2024-06-23 19:31:00,86.0315
2024-06-23 19:46:00,84.4790
2024-06-23 20:01:00,83.0705
2024-06-23 20:16:00,81.5045
2024-06-23 20:31:00,80.2445
2024-06-23 20:46:00,78.8540
2024-06-23 21:01:00,77.2160
2024-06-23 21:16:00,76.1000
2024-06-23 21:31:00,75.1280
2024-06-23 21:46:00,73.9715
2024-06-23 22:01:00,72.8825
2024-06-23 22:16:00,72.2075
2024-06-23 22:31:00,71.2265
2024-06-23 22:46:00,70.6955
2024-06-23 23:01:00,70.3715
2024-06-23 23:16:00,69.9665
2024-06-23 23:31:00,69.7010
2024-06-23 23:46:00,69.5975
2024-06-24 00:01:00,69.3320
2024-06-24 00:16:00,68.9495
2024-06-24 00:31:00,68.5625
2024-06-24 00:46:00,68.1080
2024-06-24 01:01:00,67.3925
2024-06-24 01:16:00,66.3170
2024-06-24 01:31:00,65.3630
2024-06-24 01:46:00,64.5305
2024-06-24 02:01:00,63.9905
2024-06-24 02:16:00,63.5675
2024-06-24 02:31:00,63.3335
2024-06-24 02:46:00,63.1490
2024-06-24 03:01:00,62.8520
2024-06-24 03:16:00,62.2310
2024-06-24 03:31:00,61.9295
2024-06-24 03:46:00,61.8395
2024-06-24 04:01:00,61.6325
2024-06-24 04:16:00,61.5290
2024-06-24 04:31:00,61.3355
2024-06-24 04:46:00,61.0790
2024-06-24 05:01:00,61.0070
2024-06-24 05:16:00,60.7010
2024-06-24 05:31:00,60.3365
2024-06-24 05:46:00,59.8190
2024-06-24 06:01:00,59.9720
2024-06-24 06:16:00,60.2195
2024-06-24 06:31:00,60.6065
2024-06-24 06:46:00,64.0220
2024-06-24 07:01:00,68.3915
2024-06-24 07:16:00,69.5165
2024-06-24 07:31:00,69.6605
2024-06-24 07:46:00,74.4620
2024-06-24 08:01:00,78.1385
2024-06-24 08:16:00,81.0635
2024-06-24 08:31:00,83.0030
2024-06-24 08:46:00,82.8635
2024-06-24 09:01:00,80.3480
2024-06-24 09:16:00,79.0700
2024-06-24 09:31:00,79.1600
2024-06-24 09:46:00,79.8665
2024-06-24 10:01:00,80.8295
2024-06-24 10:16:00,82.1300
2024-06-24 10:31:00,83.4440
2024-06-24 10:46:00,84.5870
2024-06-24 11:01:00,85.5230
2024-06-24 11:16:00,86.8100
2024-06-24 11:31:00,87.5975
2024-06-24 11:46:00,89.2760
2024-06-24 12:01:00,90.9455
2024-06-24 12:16:00,92.3270
2024-06-24 12:31:00,93.7490
2024-06-24 12:46:00,95.4185
2024-06-24 13:01:00,96.3545
2024-06-24 13:16:00,97.1555
2024-06-24 13:31:00,98.2490
2024-06-24 13:46:00,99.4190
2024-06-24 14:01:00,98.8655
2024-06-24 14:16:00,98.7035
2024-06-24 14:31:00,98.5370
2024-06-24 14:46:00,96.8720
2024-06-24 15:01:00,95.1530
2024-06-24 15:16:00,94.5770
2024-06-24 15:31:00,95.5310
2024-06-24 15:46:00,94.1135
2024-06-24 16:01:00,91.5485
2024-06-24 16:16:00,81.8870
2024-06-24 16:31:00,79.3040
2024-06-24 16:46:00,81.5855
2024-06-24 17:01:00,85.1855
2024-06-24 17:16:00,88.3310
2024-06-24 17:31:00,88.5200
2024-06-24 17:46:00,89.2355
2024-06-24 18:01:00,89.8115
2024-06-24 18:16:00,89.2040
2024-06-24 18:31:00,88.6730
2024-06-24 18:46:00,88.3040
2024-06-24 19:01:00,88.3490
2024-06-24 19:16:00,88.1645
2024-06-24 19:31:00,87.9755
2024-06-24 19:46:00,86.5760
2024-06-24 20:01:00,84.9740
