Timestamp for sample frequency every 15 min,Temperature (°C),Relative Humidity (%)
2024-07-01 00:00:00,17.4250,62.7225
2024-07-01 00:15:00,17.3925,62.6550
2024-07-01 00:30:00,17.3450,63.2650
2024-07-01 00:45:00,17.3050,62.9300
2024-07-01 01:00:00,17.1250,62.7925
2024-07-01 01:15:00,16.9550,64.3300
2024-07-01 01:30:00,16.7625,66.3100
2024-07-01 01:45:00,16.5950,68.1775
2024-07-01 02:00:00,16.4200,67.5875
2024-07-01 02:15:00,16.3425,67.3800
2024-07-01 02:30:00,16.2925,66.4050
2024-07-01 02:45:00,16.1600,67.2100
2024-07-01 03:00:00,15.9975,68.2325
2024-07-01 03:15:00,15.9225,68.6425
2024-07-01 03:30:00,15.8325,68.9150
2024-07-01 03:45:00,15.7025,69.7175
2024-07-01 04:00:00,15.5700,70.5500
2024-07-01 04:15:00,15.4850,71.2225
2024-07-01 04:30:00,15.3900,71.8575
2024-07-01 04:45:00,15.2525,71.7375
2024-07-01 05:00:00,15.1175,72.6500
2024-07-01 05:15:00,15.1000,73.1075
2024-07-01 05:30:00,14.8825,74.1125
2024-07-01 05:45:00,14.7400,75.1250
2024-07-01 06:00:00,14.6850,75.1100
2024-07-01 06:15:00,14.8075,76.1000
2024-07-01 06:30:00,15.0700,75.9475
2024-07-01 06:45:00,16.4700,72.7050
2024-07-01 07:00:00,18.1275,67.0575
2024-07-01 07:15:00,19.4475,63.1400
2024-07-01 07:30:00,20.5050,59.3725
2024-07-01 07:45:00,21.3900,56.4900
2024-07-01 08:00:00,21.9150,54.5700
2024-07-01 08:15:00,22.0175,54.4075
2024-07-01 08:30:00,22.4700,54.2300
2024-07-01 08:45:00,23.1425,51.1875
2024-07-01 09:00:00,24.0575,49.6975
2024-07-01 09:15:00,24.8100,48.6975
2024-07-01 09:30:00,25.6225,47.2700
2024-07-01 09:45:00,26.2775,45.4650
2024-07-01 10:00:00,26.7500,43.8425
2024-07-01 10:15:00,27.6200,43.2200
2024-07-01 10:30:00,28.4100,41.9650
2024-07-01 10:45:00,29.4375,40.0825
2024-07-01 11:00:00,30.4350,38.4875
